date,id,tweet
2020-02-04T21:18:59.000Z,1224804569097613313,"Planning a trip to Vietnam.

Need more Phở.",
2020-02-04T21:17:35.000Z,1224804214939013122,"Foreign investors are pulling back from U.S. commercial real estate, concerned about high prices and new regulations  #commercialrealestate https://t.co/4mQ0IvxCwf via @WSJ",
2020-02-04T21:16:19.000Z,1224803895127527425,Utterly futile unless China India and USA do the same. Will do immense damage to the car industry and ordinary people who depend on their vehicle. Elec cars cannot meet the demand https://t.co/TITtZ1uWyA,
2020-02-04T21:14:05.000Z,1224803334802018306,"Some Asian treats 🤤
Salted egg fish skins and erguotou baijiu.
干杯！🥃 https://t.co/1IdCqNtEPl",
2020-02-04T21:08:21.000Z,1224801890929651712,"@ben_golub Singapore would be an interesting case. Also Svensson ""eight questions about corruption"" as well as Rijckeghema and Weder JDE 2001",
2020-02-04T21:08:06.000Z,1224801828698755072,"Long Bar at Raffles Hotel, Singapore 

Home of the original Singapore Sling https://t.co/Qd2GcgIvUM",
2020-02-04T21:06:44.000Z,1224801486284185602,Shocking how bad chips are from local take aways. Over fried hard rate like crisp . Asians cant do chips. #dontgetmestartedonfish,
2020-02-04T21:03:50.000Z,1224800756991066112,"Enjoy your sizzling fillet steak in blackbean sauce. Boiling hot, boxed up and sent via delivery driver (on yer bike mate, thank you). A real treat in the comfort of your home. Enjoy your Sweet Mandarin Chinese @… https://t.co/EGkRsyGFD4",
2020-02-04T21:03:01.000Z,1224800548236513280,@Ninja @NZXT Appreciate the chance 🙏👍,
2020-02-04T21:02:43.000Z,1224800473703768064,"Meanwhile, in Japan.... https://t.co/yZ2zmerMpV",
2020-02-04T20:57:52.000Z,1224799254423707648,Now I don’t spend my evenings doing uni assignments &amp; a dissertation.. I can finally (nearly 3 years later) make a scrap book of my China memories ❤️ https://t.co/kKzGsXS9wd,
2020-02-04T20:57:34.000Z,1224799176967565314,Korean belly pork with a side of Kimchi 🤤🤤 https://t.co/MlT9bCrQyN,
2020-02-04T20:49:53.000Z,1224797244647510016,When someone from China coughs https://t.co/xeaO1Gsdg8,
2020-02-04T20:46:20.000Z,1224796351105576963,"Did you know you can catch all the action of our forthcoming event #awe2020 live on pbtvglobal from 12pm onwards on the day, hosted by none other than Shakeel Choudhury.
.
Asian Wedding Experience - The Showcase… https://t.co/BXex0Rsz35",
2020-02-04T20:41:53.000Z,1224795230467170305,"#slimmingworld #slimmingworldboy tonight’s dinner cooked by disgracefulunclejames - another new recipe from the #freefoodatoz @slimmingworld recipe book! 
Thai crab balls with a iron noodle salad with salad leaves,… https://t.co/tvSuUJ3dh4",
2020-02-04T20:38:48.000Z,1224794455645081600,Hot Wok you sexy Thai bastards 🥡🍛 https://t.co/OVpCJTzRZm,
2020-02-04T20:38:02.000Z,1224794261977292805,"Might it has somethg to do with  Middle Easterns being just as trustworthy as the Chinese and the Indians. All three cultures apply #BOHICA method in trading negotiations: 
Bend Over Here I Come Again!  
@ReutersBiz @KarenKKwok https://t.co/f7BAkcEn71",
2020-02-04T20:35:18.000Z,1224793574308564993,"@HobbyLobbyUS If there is a Hell, I hope Lucifer has fun roasting the vendors and people who steal, cage, kill and eat companion animals. Especially those in China.",
2020-02-04T20:33:39.000Z,1224793161027014657,@cjhmortimer @EANotesQueries Wasn’t part of a James Bond film filmed along Norfolk coast (made to look like Japan!?!?) #couldbewrong,
2020-02-04T20:27:50.000Z,1224791694698262528,Asian Women of Achievement @awaawardsuk meeting inspiring people @HeeralShah22 @KalbirBains @pinkylilani https://t.co/9Io56yIRWD,
2020-02-04T20:26:24.000Z,1224791335275827200,@ManUtd @ighalojude He come from China to Manchester his dicks fuckin massive,
2020-02-04T20:22:33.000Z,1224790367335305216,"MORE
▫️ Australian Govt tried to contact Chinese Embassy in Canberra, 30 mins before PM's presser...on a Saturday. https://t.co/y5kCE8ZbW6",
2020-02-04T20:21:31.000Z,1224790106168537090,"I’ve spent the last 2 weeks in the Atlas Mountains combining Coaching, online, and with a whole family individually face to face. Along with creating another online programme for my Malaysian Clients. Whilst intermittently chambering over rocks looking for goats! #bliss #grateful https://t.co/rBxcMlDvQh",
2020-02-04T20:16:56.000Z,1224788952634347522,"what a day! a #manchester #worldmusic tour with live music on the coach from local musicians from #sierraleone #india #jamaica #pakistan #china and the #jewish community. 
.
.
#tourguide #guidedtour #livemusic… https://t.co/WpCoqHNvaw",
2020-02-04T20:12:21.000Z,1224787799766896645,#askwesthamway lads can you put any truth behind Moyes at risk of sack being tweeted about? Also Rafa touted again coming from China and seats all of a sudden being moved forward. Stinks of  Sullivan spin pre protest calmer again.,
2020-02-04T20:11:43.000Z,1224787640173678593,@MsLegalSass I have a friend on the Philippines who has been in hospital for 5 days and is seriously unwell with this virus.,
2020-02-04T20:10:43.000Z,1224787386409857024,Tea tastes way better in China mugs,
2020-02-04T20:06:31.000Z,1224786329713725441,Coronavirus: UK tells all Britons to leave China 'if they can' https://t.co/c6Fv5ROjpk,
