start,tweet count
2021-07-22T00:00:00.000Z,238
2021-07-23T00:00:00.000Z,390
2021-07-24T00:00:00.000Z,324
2021-07-25T00:00:00.000Z,258
2021-05-25T00:00:00.000Z,265
2021-05-26T00:00:00.000Z,309
2021-05-27T00:00:00.000Z,277
2021-05-28T00:00:00.000Z,271
2021-05-29T00:00:00.000Z,251
2021-05-30T00:00:00.000Z,258
2021-05-31T00:00:00.000Z,228
2021-06-01T00:00:00.000Z,198
2021-06-02T00:00:00.000Z,235
2021-06-03T00:00:00.000Z,219
2021-06-04T00:00:00.000Z,271
2021-06-05T00:00:00.000Z,231
2021-06-06T00:00:00.000Z,258
2021-06-07T00:00:00.000Z,225
2021-06-08T00:00:00.000Z,238
2021-06-09T00:00:00.000Z,202
2021-06-10T00:00:00.000Z,235
2021-06-11T00:00:00.000Z,225
2021-06-12T00:00:00.000Z,321
2021-06-13T00:00:00.000Z,244
2021-06-14T00:00:00.000Z,217
2021-06-15T00:00:00.000Z,213
2021-06-16T00:00:00.000Z,219
2021-06-17T00:00:00.000Z,231
2021-06-18T00:00:00.000Z,184
2021-06-19T00:00:00.000Z,213
2021-06-20T00:00:00.000Z,226
2021-06-21T00:00:00.000Z,219
2021-06-22T00:00:00.000Z,305
2021-06-23T00:00:00.000Z,285
2021-06-24T00:00:00.000Z,235
2021-04-24T00:00:00.000Z,273
2021-04-25T00:00:00.000Z,266
2021-04-26T00:00:00.000Z,218
2021-04-27T00:00:00.000Z,202
2021-04-28T00:00:00.000Z,215
2021-04-29T00:00:00.000Z,218
2021-04-30T00:00:00.000Z,198
2021-05-01T00:00:00.000Z,242
2021-05-02T00:00:00.000Z,236
2021-05-03T00:00:00.000Z,220
2021-05-04T00:00:00.000Z,184
2021-05-05T00:00:00.000Z,237
2021-05-06T00:00:00.000Z,245
2021-05-07T00:00:00.000Z,225
2021-05-08T00:00:00.000Z,253
2021-05-09T00:00:00.000Z,237
2021-05-10T00:00:00.000Z,232
2021-05-11T00:00:00.000Z,208
2021-05-12T00:00:00.000Z,236
2021-05-13T00:00:00.000Z,209
2021-05-14T00:00:00.000Z,246
2021-05-15T00:00:00.000Z,252
2021-05-16T00:00:00.000Z,220
2021-05-17T00:00:00.000Z,231
2021-05-18T00:00:00.000Z,211
2021-05-19T00:00:00.000Z,242
2021-05-20T00:00:00.000Z,259
2021-05-21T00:00:00.000Z,268
2021-05-22T00:00:00.000Z,258
2021-05-23T00:00:00.000Z,278
2021-05-24T00:00:00.000Z,229
2021-03-24T00:00:00.000Z,335
2021-03-25T00:00:00.000Z,336
2021-03-26T00:00:00.000Z,379
2021-03-27T00:00:00.000Z,408
2021-03-28T00:00:00.000Z,418
2021-03-29T00:00:00.000Z,346
2021-03-30T00:00:00.000Z,317
2021-03-31T00:00:00.000Z,340
2021-04-01T00:00:00.000Z,303
2021-04-02T00:00:00.000Z,301
2021-04-03T00:00:00.000Z,281
2021-04-04T00:00:00.000Z,249
2021-04-05T00:00:00.000Z,248
2021-04-06T00:00:00.000Z,261
2021-04-07T00:00:00.000Z,275
2021-04-08T00:00:00.000Z,269
2021-04-09T00:00:00.000Z,320
2021-04-10T00:00:00.000Z,354
2021-04-11T00:00:00.000Z,291
2021-04-12T00:00:00.000Z,238
2021-04-13T00:00:00.000Z,278
2021-04-14T00:00:00.000Z,284
2021-04-15T00:00:00.000Z,258
2021-04-16T00:00:00.000Z,250
2021-04-17T00:00:00.000Z,208
2021-04-18T00:00:00.000Z,267
2021-04-19T00:00:00.000Z,226
2021-04-20T00:00:00.000Z,275
2021-04-21T00:00:00.000Z,287
2021-04-22T00:00:00.000Z,301
2021-04-23T00:00:00.000Z,226
2021-02-21T00:00:00.000Z,341
2021-02-22T00:00:00.000Z,353
2021-02-23T00:00:00.000Z,306
2021-02-24T00:00:00.000Z,265
2021-02-25T00:00:00.000Z,325
2021-02-26T00:00:00.000Z,317
2021-02-27T00:00:00.000Z,327
2021-02-28T00:00:00.000Z,372
2021-03-01T00:00:00.000Z,260
2021-03-02T00:00:00.000Z,314
2021-03-03T00:00:00.000Z,381
2021-03-04T00:00:00.000Z,284
2021-03-05T00:00:00.000Z,289
2021-03-06T00:00:00.000Z,288
2021-03-07T00:00:00.000Z,343
2021-03-08T00:00:00.000Z,268
2021-03-09T00:00:00.000Z,274
2021-03-10T00:00:00.000Z,293
2021-03-11T00:00:00.000Z,289
2021-03-12T00:00:00.000Z,295
2021-03-13T00:00:00.000Z,348
2021-03-14T00:00:00.000Z,311
2021-03-15T00:00:00.000Z,333
2021-03-16T00:00:00.000Z,371
2021-03-17T00:00:00.000Z,365
2021-03-18T00:00:00.000Z,298
2021-03-19T00:00:00.000Z,353
2021-03-20T00:00:00.000Z,349
2021-03-21T00:00:00.000Z,335
2021-03-22T00:00:00.000Z,315
2021-03-23T00:00:00.000Z,315
2021-01-21T00:00:00.000Z,331
2021-01-22T00:00:00.000Z,340
2021-01-23T00:00:00.000Z,363
2021-01-24T00:00:00.000Z,309
2021-01-25T00:00:00.000Z,310
2021-01-26T00:00:00.000Z,328
2021-01-27T00:00:00.000Z,442
2021-01-28T00:00:00.000Z,336
2021-01-29T00:00:00.000Z,375
2021-01-30T00:00:00.000Z,431
2021-01-31T00:00:00.000Z,388
2021-02-01T00:00:00.000Z,452
2021-02-02T00:00:00.000Z,335
2021-02-03T00:00:00.000Z,335
2021-02-04T00:00:00.000Z,406
2021-02-05T00:00:00.000Z,350
2021-02-06T00:00:00.000Z,517
2021-02-07T00:00:00.000Z,400
2021-02-08T00:00:00.000Z,412
2021-02-09T00:00:00.000Z,496
2021-02-10T00:00:00.000Z,450
2021-02-11T00:00:00.000Z,547
2021-02-12T00:00:00.000Z,1057
