date	tweetCount
2019-08-10 00:00:00+00:00	362
2019-08-11 00:00:00+00:00	417
2019-08-12 00:00:00+00:00	460
2019-08-13 00:00:00+00:00	522
2019-08-14 00:00:00+00:00	433
2019-08-15 00:00:00+00:00	426
2019-08-16 00:00:00+00:00	410
2019-08-17 00:00:00+00:00	409
2019-08-18 00:00:00+00:00	394
2019-08-19 00:00:00+00:00	385
2019-08-20 00:00:00+00:00	351
2019-08-21 00:00:00+00:00	398
2019-08-22 00:00:00+00:00	353
2019-08-23 00:00:00+00:00	411
2019-08-24 00:00:00+00:00	399
2019-08-25 00:00:00+00:00	355
2019-08-26 00:00:00+00:00	394
2019-08-27 00:00:00+00:00	323
2019-08-28 00:00:00+00:00	367
2019-08-29 00:00:00+00:00	323
2019-08-30 00:00:00+00:00	392
2019-08-31 00:00:00+00:00	452
2019-09-01 00:00:00+00:00	430
2019-09-02 00:00:00+00:00	335
2019-09-03 00:00:00+00:00	368
2019-09-04 00:00:00+00:00	375
2019-09-05 00:00:00+00:00	373
2019-09-06 00:00:00+00:00	398
2019-09-07 00:00:00+00:00	328
2019-09-08 00:00:00+00:00	342
2019-09-09 00:00:00+00:00	353
2019-09-10 00:00:00+00:00	320
2019-09-11 00:00:00+00:00	373
2019-09-12 00:00:00+00:00	394
2019-09-13 00:00:00+00:00	387
2019-09-14 00:00:00+00:00	368
2019-09-15 00:00:00+00:00	387
2019-09-16 00:00:00+00:00	392
2019-09-17 00:00:00+00:00	384
2019-09-18 00:00:00+00:00	402
2019-09-19 00:00:00+00:00	423
2019-09-20 00:00:00+00:00	621
2019-09-21 00:00:00+00:00	439
2019-09-22 00:00:00+00:00	495
2019-09-23 00:00:00+00:00	369
2019-09-24 00:00:00+00:00	405
2019-09-25 00:00:00+00:00	387
2019-09-26 00:00:00+00:00	383
2019-09-27 00:00:00+00:00	369
2019-09-28 00:00:00+00:00	1553
2019-09-29 00:00:00+00:00	435
2019-09-30 00:00:00+00:00	345
2019-10-01 00:00:00+00:00	472
2019-10-02 00:00:00+00:00	353
2019-10-03 00:00:00+00:00	397
2019-10-04 00:00:00+00:00	428
2019-10-05 00:00:00+00:00	593
2019-10-06 00:00:00+00:00	416
2019-10-07 00:00:00+00:00	382
2019-10-08 00:00:00+00:00	461
2019-10-09 00:00:00+00:00	456
2019-10-10 00:00:00+00:00	600
2019-10-11 00:00:00+00:00	534
2019-10-12 00:00:00+00:00	616
2019-10-13 00:00:00+00:00	2106
2019-10-14 00:00:00+00:00	445
2019-10-15 00:00:00+00:00	407
2019-10-16 00:00:00+00:00	413
2019-10-17 00:00:00+00:00	427
2019-10-18 00:00:00+00:00	413
2019-10-19 00:00:00+00:00	452
2019-10-20 00:00:00+00:00	969
2019-10-21 00:00:00+00:00	340
2019-10-22 00:00:00+00:00	375
2019-10-23 00:00:00+00:00	373
2019-10-24 00:00:00+00:00	498
2019-10-25 00:00:00+00:00	413
2019-10-26 00:00:00+00:00	463
2019-10-27 00:00:00+00:00	425
2019-10-28 00:00:00+00:00	318
2019-10-29 00:00:00+00:00	338
2019-10-30 00:00:00+00:00	346
2019-10-31 00:00:00+00:00	403
2019-11-01 00:00:00+00:00	448
2019-11-02 00:00:00+00:00	592
2019-11-03 00:00:00+00:00	406
2019-11-04 00:00:00+00:00	352
2019-11-05 00:00:00+00:00	345
2019-11-06 00:00:00+00:00	351
2019-11-07 00:00:00+00:00	394
2019-11-08 00:00:00+00:00	359
2019-11-09 00:00:00+00:00	392
2019-11-10 00:00:00+00:00	335
2019-11-11 00:00:00+00:00	398
2019-11-12 00:00:00+00:00	359
2019-11-13 00:00:00+00:00	337
2019-11-14 00:00:00+00:00	429
2019-11-15 00:00:00+00:00	484
2019-11-16 00:00:00+00:00	398
2019-11-17 00:00:00+00:00	366
2019-11-18 00:00:00+00:00	393
2019-11-19 00:00:00+00:00	370
2019-11-20 00:00:00+00:00	362
2019-11-21 00:00:00+00:00	339
2019-11-22 00:00:00+00:00	321
2019-11-23 00:00:00+00:00	395
2019-11-24 00:00:00+00:00	421
2019-11-25 00:00:00+00:00	412
2019-11-26 00:00:00+00:00	362
2019-11-27 00:00:00+00:00	381
2019-11-28 00:00:00+00:00	380
2019-11-29 00:00:00+00:00	361
2019-11-30 00:00:00+00:00	341
2019-12-01 00:00:00+00:00	324
2019-12-02 00:00:00+00:00	290
2019-12-03 00:00:00+00:00	356
2019-12-04 00:00:00+00:00	349
2019-12-05 00:00:00+00:00	342
